source,target,population,weight
KE,dav,400000,0.00820
KE,teo,360000,0.00740
KE,pko,340000,0.00700
KE,om,230000,0.00470
KE,saq,220000,0.00460
KE,ar,22000,0.00046
KE,pa,10000,0.00021
KE,gu,4800,0.00010
KI,en,110000,1.00000
KI,gil,66000,0.60000
XK,sq,1800000,0.92000
XK,aln,1400000,0.74000
XK,sr,95000,0.05000
XK,sr_Latn,95000,0.05000
KW,ar,2900000,1.00000
KG,ky,2800000,0.48000
KG,ru,2100000,0.36000
LA,lo,5000000,0.69000
LA,kjg,420000,0.05800
LA,kdt,69000,0.00960
LV,lv,1200000,0.61000
LV,en,880000,0.46000
LV,ru,730000,0.38000
LV,ltg,170000,0.08900
LB,ar,5200000,0.86000
LB,en,2400000,0.40000
LB,hy,320000,0.05200
LB,ku_Arab,100000,0.01700
LB,fr,23000,0.00370
LS,st,1900000,0.98000
LS,en,530000,0.27000
LS,zu,270000,0.14000
LS,ss,47000,0.02400
LS,xh,20000,0.01000
LR,en,4000000,0.83000
LR,kpe,670000,0.14000
LR,vai,130000,0.02600
LR,men,23000,0.00480
LY,ar,5000000,0.74000
LI,de,39000,1.00000
LI,gsw,33000,0.85000
LI,wae,1300,0.03400
LT,lt,2400000,0.86000
LT,ru,2200000,0.80000
LT,en,1100000,0.38000
LT,de,390000,0.14000
LU,fr,530000,0.87000
LU,lb,410000,0.67000
LU,de,380000,0.63000
LU,en,340000,0.56000
LU,pt,97000,0.16000
MO,zh_Hant,590000,0.98000
MO,pt,30000,0.05000
MO,zh,30000,0.05000
MO,en,14000,0.02300
MG,mg,23000000,0.90000
MG,fr,18000000,0.69000
MG,en,4600000,0.18000
MW,en,13000000,0.63000
MW,ny,13000000,0.63000
MW,tum,1700000,0.08400
MW,tog,190000,0.00980
MW,zu,65000,0.00330
MY,ms,24000000,0.75000
MY,en,6700000,0.21000
MY,zh_Hant,5400000,0.17000
MY,ta,1300000,0.04200
MY,iba,800000,0.02500
MY,jv,380000,0.01200
MY,zmi,380000,0.01200
MY,dtp,180000,0.00560
MY,ml,48000,0.00150
MY,bug,25000,0.00079
MY,bjn,5100,0.00016
MV,dv,370000,0.94000
ML,bm,8500000,0.46000
ML,fr,8500000,0.46000
ML,ffm,1400000,0.07700
ML,snk,1100000,0.05900
ML,mwk,920000,0.05000
ML,ses,630000,0.03400
ML,tmh,390000,0.02100
ML,bm_Nkoo,370000,0.02000
ML,khq,310000,0.01700
ML,dtm,200000,0.01100
ML,kao,180000,0.01000
ML,ar,160000,0.00890
ML,bmq,160000,0.00860
ML,bze,150000,0.00840
MT,mt,450000,1.00000
MT,en,400000,0.88000
MT,it,250000,0.56000
MT,fr,49000,0.11000
MH,en,70000,0.93000
MH,mh,55000,0.73000
MQ,fr,430000,0.98000
MR,ar,3300000,0.85000
MR,fr,650000,0.17000
MR,ff,220000,0.05700
MR,wo,10000,0.00260
MU,mfe,1200000,0.90000
MU,en,980000,0.72000
MU,bho,370000,0.27000
MU,ur,71000,0.05200
MU,fr,41000,0.03000
MU,ta,34000,0.02500
YT,swb,170000,0.88000
YT,fr,110000,0.57000
YT,buc,45000,0.23000
YT,sw,2700,0.01400
MX,es,100000000,0.83000
MX,en,16000000,0.13000
MX,yua,840000,0.00670
MX,nhe,490000,0.00390
MX,nhw,490000,0.00390
MX,maz,430000,0.00340
MX,nch,240000,0.00190
MX,sei,880,0.00001
FM,en,59000,0.57000
FM,chk,31000,0.30000
FM,pon,24000,0.23000
FM,kos,8000,0.07700
FM,yap,6600,0.06400
FM,uli,3000,0.02900
MD,ro,2200000,0.63000
MD,uk,480000,0.14000
MD,bg,320000,0.09400
MD,gag,110000,0.03300
MD,ru,100000,0.03000
MC,fr,30000,0.99000
MN,mn,2900000,0.93000
MN,kk_Arab,220000,0.07200
MN,zh,43000,0.01400
MN,ru,4000,0.00130
MN,ug_Cyrl,990,0.00032
ME,sr_Latn,610000,1.00000
ME,sq,49000,0.07900
ME,sr,31000,0.05000
MS,en,3500,0.66000
MA,ary,30000000,0.87000
MA,ar,21000000,0.62000
MA,zgh,7500000,0.22000
MA,fr,6900000,0.20000
MA,en,4800000,0.14000
MA,tzm,3400000,0.09800
MA,shi,3000000,0.08700
MA,shi_Latn,3000000,0.08700
MA,rif,1700000,0.04900
MA,rif_Latn,1700000,0.04900
MA,es,22000,0.00065
MZ,pt,7400000,0.27000
MZ,vmw,3500000,0.13000
MZ,ndc,2700000,0.09900
MZ,ts,2200000,0.07900
MZ,ngl,1900000,0.06800
MZ,seh,1300000,0.04600
MZ,mgh,1200000,0.04500
MZ,rng,930000,0.03400
MZ,ny,710000,0.02600
MZ,yao,650000,0.02400
MZ,sw,9300,0.00034
MZ,zu,1800,0.00007
MM,my,36000000,0.64000
MM,shn,3600000,0.06400
MM,kac,950000,0.01700
MM,mnw,830000,0.01500
MM,kht,4200,0.00008
NA,af,1900000,0.75000
NA,kj,890000,0.35000
NA,ng,530000,0.21000
NA,naq,280000,0.11000
NA,hz,230000,0.09100
NA,en,180000,0.07000
NA,de,23000,0.00900
NA,tn,14000,0.00560
NR,en,9400,0.97000
NR,na,6900,0.71000
NP,ne,13000000,0.44000
NP,mai,3300000,0.11000
NP,bho,2000000,0.06800
NP,taj,1000000,0.03400
NP,new,980000,0.03300
NP,jml,950000,0.03200
NP,en,890000,0.03000
NP,dty,740000,0.02500
NP,awa,650000,0.02200
NP,thl,590000,0.02000
NP,bap,450000,0.01500
NP,tdg,390000,0.01300
NP,thr,360000,0.01200
NP,lif,330000,0.01100
NP,mgp,330000,0.01100
NP,thq,300000,0.01000
NP,mrd,250000,0.00830
NP,gvr,210000,0.00710
NP,bfy,160000,0.00540
NP,xsr,150000,0.00520
NP,rjs,130000,0.00440
NP,hi,120000,0.00420
NP,bo,71000,0.00240
NP,tkt,71000,0.00240
NP,tdh,36000,0.00120
NP,bn,28000,0.00094
NP,unr_Deva,5600,0.00019
NP,lep,2800,0.00010
NL,nl,17000000,1.00000
NL,en,15000000,0.90000
NL,de,12000000,0.71000
NL,fr,5000000,0.29000
NL,nds,1900000,0.11000
NL,li,940000,0.05500
NL,fy,740000,0.04300
NL,gos,620000,0.03600
NL,id,310000,0.01800
NL,zea,240000,0.01400
NL,rif_Latn,210000,0.01200
NL,tr,210000,0.01200
NC,fr,270000,0.96000
NZ,en,4500000,0.98000
NZ,mi,130000,0.02800
NI,es,4700000,0.78000
NE,ha,8100000,0.41000
NE,fr,5800000,0.29000
NE,dje,3400000,0.17000
NE,fuq,1400000,0.07000
